"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAC","TRSAC"
2015,"UF","51",56673,228,9109,10959,4069,48759,0,221,0,13889,13228,21416,0,NA,NA,NA,25.55,6.34,192,56673,2257,54290,45381,1191,1566,192,46,0,339,38902,9571,51121,0,5007,147,0,5213,369,223,2506,55485,223,2506,55485,NA,NA,NA,38.43,2.08,56673,228,9109,37899,27706,10959,363,46,0,339,4069,48759,0,221,0,13889,13228,21416,0,192,9571,38902,0,51121,5007,37899,27706,147,56673,0,5213,369,56673,2257,54290,2920,3225,3530,3199.12,537.73,45381,1191,12122,1566,192
2015,"UF","51",0,383,8027,4064,8077,1191,56673,476,56673,2262,1537,35257,0,NA,NA,NA,25.55,6.34,55715,0,220,28962,5726,169,5935,4676,25,0,7,17415,5147,4353,0,34510,13771,3284,48759,1927,38180,1115,1102,38180,1115,1102,NA,NA,NA,38.43,2.08,0,383,8027,1269,0,4064,55983,25,0,7,8077,1191,56673,476,56673,2262,1537,35257,0,55715,5147,17415,0,4353,34510,1269,0,13771,0,3284,48759,1927,0,220,28962,2920,3225,3530,3199.12,537.73,5726,169,29110,5935,4676
2015,"UF","51",0,339,9571,5007,147,56673,0,5213,369,223,2506,55485,56673,NA,NA,NA,25.55,6.34,228,9109,37899,27706,363,10959,48759,0,221,0,13889,21416,13228,192,0,56673,2257,45381,1191,12122,1566,192,46,1566,192,46,NA,NA,NA,38.43,2.08,0,339,9571,38902,0,5007,51121,221,0,13889,147,56673,0,5213,369,223,2506,55485,56673,228,13228,21416,0,192,56673,38902,0,2257,54290,45381,1191,12122,9109,37899,27706,2920,3225,3530,3199.12,537.73,363,10959,4069,48759,0
2015,"UF","51",0,7,5147,34510,13771,0,3284,48759,1927,38180,1115,1102,0,NA,NA,NA,25.55,6.34,383,8027,1269,0,55983,4064,1191,56673,476,56673,2262,35257,1537,55715,0,0,220,5726,169,29110,5935,4676,25,5935,4676,25,NA,NA,NA,38.43,2.08,0,7,5147,17415,0,34510,4353,476,56673,2262,13771,0,3284,48759,1927,38180,1115,1102,0,383,1537,35257,0,55715,0,17415,0,220,28962,5726,169,29110,8027,1269,0,2920,3225,3530,3199.12,537.73,55983,4064,8077,1191,56673
2015,"UF","51",0,13889,13228,56673,2257,54290,45381,1191,12122,1566,192,46,0,NA,NA,NA,25.55,6.34,339,9571,38902,0,51121,5007,56673,0,5213,369,223,55485,2506,228,56673,9109,37899,363,10959,4069,48759,0,221,48759,0,221,NA,NA,NA,38.43,2.08,0,13889,13228,21416,0,56673,192,5213,369,223,2257,54290,45381,1191,12122,1566,192,46,0,339,2506,55485,56673,228,9109,21416,0,37899,27706,363,10959,4069,9571,38902,0,2920,3225,3530,3199.12,537.73,51121,5007,147,56673,0
2015,"UF","51",56673,2262,1537,0,220,28962,5726,169,29110,5935,4676,25,0,NA,NA,NA,25.55,6.34,7,5147,17415,0,4353,34510,0,3284,48759,1927,38180,1102,1115,383,0,8027,1269,55983,4064,8077,1191,56673,476,1191,56673,476,NA,NA,NA,38.43,2.08,56673,2262,1537,35257,0,0,55715,48759,1927,38180,220,28962,5726,169,29110,5935,4676,25,0,7,1115,1102,0,383,8027,35257,0,1269,0,55983,4064,8077,5147,17415,0,2920,3225,3530,3199.12,537.73,4353,34510,13771,0,3284
2015,"UF","51",369,223,2506,9109,37899,27706,363,10959,4069,48759,0,221,0,NA,NA,NA,25.55,6.34,13889,13228,21416,0,192,56673,54290,45381,1191,12122,1566,46,192,339,0,9571,38902,51121,5007,147,56673,0,5213,56673,0,5213,NA,NA,NA,38.43,2.08,369,223,2506,55485,56673,9109,228,1191,12122,1566,37899,27706,363,10959,4069,48759,0,221,0,13889,192,46,0,339,9571,55485,56673,38902,0,51121,5007,147,13228,21416,0,2920,3225,3530,3199.12,537.73,192,56673,2257,54290,45381
2015,"UF","51",1927,38180,1115,8027,1269,0,55983,4064,8077,1191,56673,476,56673,NA,NA,NA,25.55,6.34,2262,1537,35257,0,55715,0,28962,5726,169,29110,5935,25,4676,7,0,5147,17415,4353,34510,13771,0,3284,48759,0,3284,48759,NA,NA,NA,38.43,2.08,1927,38180,1115,1102,0,8027,383,169,29110,5935,1269,0,55983,4064,8077,1191,56673,476,56673,2262,4676,25,0,7,5147,1102,0,17415,0,4353,34510,13771,1537,35257,0,2920,3225,3530,3199.12,537.73,55715,0,220,28962,5726
2015,"UF","51",12122,1566,192,9571,38902,0,51121,5007,147,56673,0,5213,369,NA,NA,NA,25.55,6.34,223,2506,55485,56673,228,9109,27706,363,10959,4069,48759,221,0,13889,0,13228,21416,192,56673,2257,54290,45381,1191,54290,45381,1191,NA,NA,NA,38.43,2.08,12122,1566,192,46,0,9571,339,10959,4069,48759,38902,0,51121,5007,147,56673,0,5213,369,223,0,221,0,13889,13228,46,0,21416,0,192,56673,2257,2506,55485,56673,2920,3225,3530,3199.12,537.73,228,9109,37899,27706,363
2015,"UF","51",29110,5935,4676,5147,17415,0,4353,34510,13771,0,3284,48759,1927,NA,NA,NA,25.55,6.34,38180,1115,1102,0,383,8027,0,55983,4064,8077,1191,476,56673,2262,56673,1537,35257,55715,0,220,28962,5726,169,28962,5726,169,NA,NA,NA,38.43,2.08,29110,5935,4676,25,0,5147,7,4064,8077,1191,17415,0,4353,34510,13771,0,3284,48759,1927,38180,56673,476,56673,2262,1537,25,0,35257,0,55715,0,220,1115,1102,0,2920,3225,3530,3199.12,537.73,383,8027,1269,0,55983
