"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"MUNICIPIO",5106653,NA,"0,734",NA,NA
2015,"MUNICIPIO",5106703,NA,"0,686",NA,NA
2015,"MUNICIPIO",5106752,NA,"0,703",NA,NA
2015,"MUNICIPIO",5106778,NA,"0,673",NA,NA
2015,"MUNICIPIO",5106802,NA,"0,685",NA,NA
2015,"MUNICIPIO",5106828,NA,"0,652",NA,NA
2015,"MUNICIPIO",5106851,NA,"0,599",NA,NA
2015,"MUNICIPIO",5107008,NA,"0,678",NA,NA
2015,"MUNICIPIO",5107040,NA,"0,752",NA,NA
2015,"MUNICIPIO",5107065,NA,"0,692",NA,NA
2015,"MUNICIPIO",5107156,NA,"0,676",NA,NA
2015,"MUNICIPIO",5107180,NA,"0,67",NA,NA
2015,"MUNICIPIO",5107198,NA,"0,692",NA,NA
2015,"MUNICIPIO",5107206,NA,"0,727",NA,NA
2015,"MUNICIPIO",5107206,NA,"0,707",NA,NA
2015,"MUNICIPIO",5107578,NA,"0,64",NA,NA
2015,"MUNICIPIO",5107602,NA,"0,755",NA,NA
2015,"MUNICIPIO",5107701,NA,"0,65",NA,NA
2015,"MUNICIPIO",5107859,NA,"0,668",NA,NA
2015,"MUNICIPIO",5107297,NA,"0,661",NA,NA
2015,"MUNICIPIO",5107305,NA,"0,682",NA,NA
2015,"MUNICIPIO",5107354,NA,"0,657",NA,NA
2015,"MUNICIPIO",5107107,NA,"0,719",NA,NA
2015,"MUNICIPIO",5107404,NA,"0,66",NA,NA
2015,"MUNICIPIO",5107750,NA,"0,666",NA,NA
2015,"MUNICIPIO",5107248,NA,"0,715",NA,NA
2015,"MUNICIPIO",5107743,NA,"0,684",NA,NA
2015,"MUNICIPIO",5107768,NA,"0,735",NA,NA
2015,"MUNICIPIO",5107776,NA,"0,609",NA,NA
2015,"MUNICIPIO",5107776,NA,"0,593",NA,NA
2015,"MUNICIPIO",5107776,NA,"0,669",NA,NA
2015,"MUNICIPIO",5107263,NA,"0,689",NA,NA
2015,"MUNICIPIO",5107792,NA,"0,655",NA,NA
2015,"MUNICIPIO",5107800,NA,"0,656",NA,NA
2015,"MUNICIPIO",5107875,NA,"0,732",NA,NA
2015,"MUNICIPIO",5107883,NA,"0,664",NA,NA
2015,"MUNICIPIO",5107909,NA,"0,754",NA,NA
2015,"MUNICIPIO",5107925,NA,"0,744",NA,NA
2015,"MUNICIPIO",5107941,NA,"0,695",NA,NA
2015,"MUNICIPIO",5107958,NA,"0,729",NA,NA
2015,"MUNICIPIO",5108006,NA,"0,714",NA,NA
2015,"MUNICIPIO",5108055,NA,"0,698",NA,NA
2015,"MUNICIPIO",5108105,NA,"0,655",NA,NA
2015,"MUNICIPIO",5108204,NA,"0,716",NA,NA
2015,"MUNICIPIO",5108303,NA,"0,665",NA,NA
2015,"MUNICIPIO",5108402,NA,"0,734",NA,NA
2015,"MUNICIPIO",5108402,NA,"0,571",NA,NA
2015,"MUNICIPIO",5108352,NA,"0,656",NA,NA
2015,"MUNICIPIO",5108501,NA,"0,68",NA,NA
2015,"MUNICIPIO",5105507,NA,"0,645",NA,NA
2015,"MUNICIPIO",5108600,NA,"0,688",NA,NA
